id,id-entidad,entidad,slug,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones
1,1,Mexicali,mex,01/04/20,111,38,28,2
2,2,Tijuana,tj,01/04/20,123,86,15,1
3,3,Rosarito,ros,01/04/20,0,0,0,0
4,4,Ensenada,ens,01/04/20,53,22,0,0
5,5,Tecate,tec,01/04/20,0,0,0,0
6,6,San Quintin,sq,01/04/20,0,0,0,0
7,1,Mexicali,mex,02/04/20,115,49,31,2
8,2,Tijuana,tj,02/04/20,116,90,21,2
9,3,Rosarito,ros,02/04/20,6,2,0,0
10,4,Ensenada,ens,02/04/20,56,30,0,0
11,5,Tecate,tec,02/04/20,6,2,0,0
12,6,San Quintin,sq,02/04/20,7,3,0,0
13,1,Mexicali,mex,03/04/20,124,63,32,2
14,2,Tijuana,tj,03/04/20,132,88,26,2
15,3,Rosarito,ros,03/04/20,7,1,0,0
16,4,Ensenada,ens,03/04/20,60,30,0,0
17,5,Tecate,tec,03/04/20,6,4,0,0
18,6,San Quintin,sq,03/04/20,8,2,0,0
19,1,Mexicali,mex,04/04/20,134,62,36,2
20,2,Tijuana,tj,04/04/20,140,103,32,3
21,3,Rosarito,ros,04/04/20,8,0,0,0
22,4,Ensenada,ens,04/04/20,67,29,1,0
23,5,Tecate,tec,04/04/20,6,5,0,0
24,6,San Quintin,sq,04/04/20,8,3,0,0
25,1,Mexicali,mex,05/04/20,136,57,40,3
26,2,Tijuana,tj,05/04/20,151,88,51,4
27,3,Rosarito,ros,05/04/20,8,0,0,0
28,4,Ensenada,ens,05/04/20,69,27,2,0
29,5,Tecate,tec,05/04/20,6,5,0,0
30,6,San Quintin,sq,05/04/20,10,1,0,0
31,1,Mexicali,mex,06/04/20,136,53,44,3
32,2,Tijuana,tj,06/04/20,159,68,63,6
33,3,Rosarito,ros,06/04/20,8,0,1,0
34,4,Ensenada,ens,06/04/20,69,27,2,0
35,5,Tecate,tec,06/04/20,6,5,0,0
36,6,San Quintin,sq,06/04/20,10,1,0,0
37,1,Mexicali,mex,07/04/20,138,49,62,4
38,2,Tijuana,tj,07/04/20,159,68,95,8
39,3,Rosarito,ros,07/04/20,8,0,1,0
40,4,Ensenada,ens,07/04/20,69,27,2,0
41,5,Tecate,tec,07/04/20,6,5,0,0
42,6,San Quintin,sq,07/04/20,10,1,0,0
43,1,Mexicali,mex,08/04/20,233,82,84,5
44,2,Tijuana,tj,08/04/20,304,122,146,8
45,3,Rosarito,ros,08/04/20,19,10,2,0
46,4,Ensenada,ens,08/04/20,99,14,2,0
47,5,Tecate,tec,08/04/20,20,8,6,0
48,6,San Quintin,sq,08/04/20,10,3,0,0
49,1,Mexicali,mex,09/04/20,245,75,96,6
50,2,Tijuana,tj,09/04/20,303,149,155,11
51,3,Rosarito,ros,09/04/20,19,10,2,0
52,4,Ensenada,ens,09/04/20,101,15,3,0
53,5,Tecate,tec,09/04/20,20,10,6,0
54,6,San Quintin,sq,09/04/20,10,2,1,0